screening_group,run,sample_id,FHB_normalized,SD,source_slide
298,3,2nd-3,3-60,382.63,13.69,44
299,3,2nd-3,3-61,364.07,3.02,44
300,3,2nd-3,3-63,500.44,0.32,44
301,3,2nd-3,3-64,197.52,3.66,44
302,3,2nd-3,3-65,399.59,2.35,44
303,3,2nd-3,3-66,525.97,13.14,44
304,3,2nd-3,3-67,184.13,0.02,44
305,3,2nd-3,3-68,463.57,9.86,44
306,3,2nd-3,3-70,424.15,4.68,44
307,3,2nd-3,3-72,188.26,0.81,44
308,3,2nd-3,3-73,136.36,2.07,44
309,3,2nd-3,3-75,123.76,6.09,44
310,3,2nd-3,3-77,159.21,0.52,44
311,3,2nd-3,3-79,191.98,4.38,44
312,3,2nd-3,3-80,293.62,2.36,44
313,3,2nd-3,3-81,429.23,13.09,44
314,3,2nd-3,3-82,166.11,1.94,44
315,3,2nd-3,3-83,311.98,6.78,44
316,3,2nd-3,3-84,456.44,4.29,44
317,3,2nd-3,3-85,405.26,16.0,44
318,3,2nd-3,3-86,117.88,2.8,44
319,3,2nd-3,3-87,104.42,2.17,44
320,3,2nd-3,3-89,599.37,40.87,44
321,3,2nd-3,3-90,197.2,2.28,44
322,3,2nd-3,3-91,492.79,24.89,44
323,3,2nd-3,3-92,117.35,4.93,44
324,3,2nd-3,3-94,38.67,0.6,44
325,3,2nd-3,3-95,180.68,15.86,44
326,3,2nd-3,3-96,105.49,5.65,44
327,4,1st-4,4-1,112.13,1.74,46
328,4,1st-4,4-2,96.43,1.84,46
329,4,1st-4,4-3,104.99,3.68,46
330,4,1st-4,4-4,23.29,1.38,46
331,4,1st-4,4-5,318.13,2.62,46
332,4,1st-4,4-6,121.55,3.0,46
333,4,1st-4,4-8,2.66,0.21,46
334,4,1st-4,4-9,86.94,1.41,46
335,4,1st-4,4-10,21.94,0.41,46
336,4,1st-4,4-11,46.93,2.71,46
337,4,1st-4,4-12,173.87,10.48,46
338,4,1st-4,4-16,214.09,10.19,46
339,4,1st-4,4-17,135.15,4.16,46
340,4,1st-4,4-18,58.41,1.28,46
341,4,1st-4,4-19,31.52,0.75,46
342,4,1st-4,4-20,23.16,0.98,46
343,4,1st-4,4-21,100.92,2.05,46
344,4,1st-4,4-22,277.95,31.13,46
345,4,1st-4,4-23,314.55,5.76,46
346,4,1st-4,4-24,15.41,0.59,46
347,4,1st-4,4-25,31.29,1.28,46
348,4,1st-4,4-26,96.38,4.12,46
349,4,1st-4,4-31,31.1,0.96,46
350,4,1st-4,4-32,205.91,7.74,46
351,4,1st-4,4-34,112.12,6.67,46
352,4,1st-4,4-35,21.02,0.14,46
353,4,1st-4,4-36,128.07,3.39,46
354,4,1st-4,4-37,14.98,0.39,46
355,4,1st-4,4-38,136.83,10.25,46
356,4,1st-4,4-39,16.0,0.82,46
357,4,1st-4,4-40,238.86,14.58,46
358,4,1st-4,4-42,104.9,5.32,46
359,4,1st-4,4-43,206.93,11.82,46
360,4,1st-4,4-44,158.2,9.88,46
361,4,1st-4,4-45,233.74,18.07,46
362,4,1st-4,4-46,15.08,2.03,46
363,4,1st-4,4-47,193.34,26.47,46
364,4,1st-4,4-48,16.52,1.54,46
365,4,2nd-4,4-49,119.61,5.55,48
366,4,2nd-4,4-50,122.53,2.65,48
367,4,2nd-4,4-51,198.24,15.56,48
368,4,2nd-4,4-53,2.4,0.03,48
369,4,2nd-4,4-54,123.03,0.75,48
370,4,2nd-4,4-55,127.96,6.98,48
371,4,2nd-4,4-56,165.19,4.69,48
372,4,2nd-4,4-57,90.64,2.43,48
373,4,2nd-4,4-58,129.06,1.47,48
374,4,2nd-4,4-59,107.46,3.49,48
375,4,2nd-4,4-60,21.06,0.14,48
376,4,2nd-4,4-61,153.43,6.12,48
377,4,2nd-4,4-63,115.92,0.3,48
378,4,2nd-4,4-64,102.77,7.22,48
379,4,2nd-4,4-65,123.93,2.09,48
380,4,2nd-4,4-67,171.65,14.15,48
381,4,2nd-4,4-68,33.24,0.46,48
